Gene,Weight,Average Expression,Standard Deviation
SLC7A11,-0.059,0.025,0.158
ADCY2,-0.06,0.05,0.316
KAZN,-0.061,0,0
ARAP2,-0.061,0.05,0.221
KCNQ3,-0.061,0.15,0.427
ENTPD1,-0.061,0,0
CSF3R,-0.061,0,0
C3,-0.061,0,0
RTN4,-0.061,3.025,2.247
WIF1,-0.061,0.025,0.158
CSMD3,-0.063,0.225,0.48
TLR1,-0.063,0,0
PHLPP1,-0.063,0.075,0.35
RP11-480C22.1,-0.063,0,0
NCKAP1L,-0.063,0,0
NRG3,-0.064,0.475,0.847
ATP8B4,-0.064,0.025,0.158
F3,-0.065,0,0
PLA2G4A,-0.065,0,0
LY86,-0.065,0,0
PDE8A,-0.066,0.025,0.158
PLCG2,-0.066,0,0
RP11-455P21.3,-0.067,0.025,0.158
SORCS3,-0.067,0,0
PID1,-0.068,0,0
MBP,-0.068,0,0
SLAIN1,-0.069,0.025,0.158
CDK19,-0.069,0.075,0.267
GPM6A,-0.069,1.575,1.238
KCNMB2,-0.069,0.075,0.35
GABRB1,-0.07,0.225,0.48
CTNNA2,-0.07,0.375,1.005
RIMS2,-0.071,0.125,0.404
ADGRB3,-0.071,0.55,0.932
DOCK8,-0.071,0,0
SAMSN1,-0.072,0,0
PPP2R2B,-0.072,0.375,0.979
HCLS1,-0.073,0,0
BCAS1,-0.073,0,0
ABCC4,-0.074,0.025,0.158
CXCL14,-0.074,0.075,0.267
GRIK1,-0.074,0.025,0.158
ARHGAP24,-0.075,0,0
FRYL,-0.076,0.1,0.304
MYO1F,-0.077,0,0
MEF2C,-0.077,0.35,0.662
MIR99AHG,-0.077,0.15,0.427
APBB2,-0.078,0.1,0.304
IL1RAPL1,-0.078,0.275,0.679
RORA,-0.079,0.05,0.221
TUBB2B,-0.081,0.3,0.516
TMTC2,-0.081,0.025,0.158
ERBIN,-0.082,0.05,0.221
DTNA,-0.082,0.175,0.385
TNC,-0.084,0,0
RALYL,-0.085,0.025,0.158
SPOCK1,-0.085,0.15,0.362
ADGRV1,-0.086,0.1,0.379
ABHD2,-0.086,0.2,0.405
RASGEF1C,-0.087,0,0
SFMBT2,-0.087,0.025,0.158
PIP4K2A,-0.087,0,0
VCAN,-0.087,0.15,0.483
EZR,-0.088,0,0
SRGAP2B,-0.089,0,0
TBXAS1,-0.089,0,0
DPP6,-0.091,0.275,0.452
TF,-0.091,0,0
CHL1,-0.093,0.4,0.545
MOBP,-0.093,0,0
SGK1,-0.093,0.025,0.158
GRIA2,-0.094,1.6,1.194
GRID2,-0.094,0.175,0.675
NTRK2,-0.094,0.225,0.62
TIMP3,-0.094,0.025,0.158
OPCML,-0.096,0.375,0.667
CH17-437K3.1,-0.098,0.025,0.158
LRIG1,-0.099,0,0
ST6GAL1,-0.1,0.025,0.158
LHFPL3,-0.101,0,0
MAF,-0.102,0,0
SLC44A1,-0.103,0.05,0.221
CD53,-0.103,0,0
RAB31,-0.103,0,0
LRRC3B,-0.104,0.05,0.221
RNF219-AS1,-0.104,0,0
C10orf11,-0.105,0,0
GLUD1,-0.105,0.025,0.158
TGFBR2,-0.106,0,0
SCN1A,-0.107,0.075,0.267
CREB5,-0.107,0.05,0.221
CTNNA3,-0.108,0,0
TMEM165,-0.109,0,0
ITM2B,-0.112,0.45,0.714
OLR1,-0.113,0,0
SNTG1,-0.113,0.05,0.221
TUBB2A,-0.113,1.15,1.272
ADGRG1,-0.113,0.05,0.316
C1orf61,-0.114,0.325,0.656
REV3L,-0.115,0.3,0.564
NRXN3,-0.115,0.1,0.379
SOX2,-0.116,0,0
ARHGAP25,-0.117,0,0
TNR,-0.118,0.25,0.543
CCDC50,-0.118,0.05,0.221
MMP16,-0.121,0.05,0.221
AOAH,-0.121,0,0
LINC00461,-0.121,0.125,0.335
METTL7A,-0.123,0.025,0.158
MDGA2,-0.123,0.025,0.158
SYK,-0.124,0,0
LSAMP,-0.124,1.3,1.572
SOX6,-0.124,0,0
PON2,-0.125,0,0
MAGI2,-0.125,0.275,0.599
TTYH1,-0.125,0.025,0.158
DOCK9,-0.127,0.025,0.158
ALDOC,-0.128,0.05,0.221
GRIA4,-0.128,0,0
LPCAT2,-0.13,0,0
LPAR6,-0.13,0.025,0.158
PPAP2B,-0.13,0.075,0.35
NLGN1,-0.13,0.675,1.047
UBE2E2,-0.134,0.05,0.221
ITM2C,-0.134,0.425,0.594
PLP1,-0.135,0,0
P2RY12,-0.137,0,0
MYO10,-0.137,0,0
TRIM2,-0.138,0.3,0.564
TCF12,-0.138,0.25,0.439
ELMO1,-0.139,0,0
CKB,-0.139,0.1,0.304
SEPT7,-0.139,0.525,0.816
FUT9,-0.14,0.125,0.404
HSP90AB1,-0.145,1.925,1.385
SOX2-OT,-0.145,0.15,0.427
SOX5,-0.149,0.025,0.158
ADAM28,-0.153,0,0
MEF2A,-0.153,0.275,0.506
PTPRC,-0.154,0,0
TTR,-0.156,1.875,1.771
YWHAB,-0.164,1.15,1.189
DPP10,-0.164,0.025,0.158
NPAS3,-0.164,0.075,0.267
NEFL,-0.167,1.125,1.436
DST,-0.169,0.625,1.102
ZEB1,-0.17,0.05,0.221
NOVA1,-0.171,0.075,0.267
CASK,-0.171,0.125,0.335
HS6ST3,-0.171,0.075,0.267
BRINP3,-0.172,0,0
LRP1B,-0.173,0.175,0.549
CST3,-0.175,0.4,0.841
ZEB2,-0.179,0.225,0.423
ITPR2,-0.183,0,0
CPE,-0.184,1,1.177
APOE,-0.185,0.075,0.267
ATP1A2,-0.187,0,0
KCND2,-0.192,0.125,0.335
CSF1R,-0.197,0,0
BCAN,-0.197,0.025,0.158
SERPINE2,-0.199,0,0
PDE4B,-0.202,0.05,0.221
GPC5,-0.202,0,0
APBB1IP,-0.204,0,0
OLIG1,-0.205,0,0
PRNP,-0.205,0.325,0.764
PLXDC2,-0.207,0.05,0.221
SYT11,-0.207,0.475,0.679
MACF1,-0.21,0.325,0.572
LUZP2,-0.219,0.175,0.446
SLC8A1,-0.22,0.15,0.362
SPARCL1,-0.227,0.4,0.744
SLC1A2,-0.227,0,0
UCHL1,-0.232,0.65,1.027
QKI,-0.234,0.1,0.304
CX3CR1,-0.237,0,0
SLC1A3,-0.248,0.025,0.158
PCDH15,-0.252,0.025,0.158
HSP90AA1,-0.28,2.275,2.172
CLU,-0.291,0.05,0.221
PTPRZ1,-0.296,0.275,0.506
PTN,-0.346,0.15,0.58
AQP4,-0.376,0,0
SYT1,-0.398,2.075,1.859
PDGFRA,-0.426,0,0
